atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,899.5,0,47.7008,-122.4313167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,924.7142857142857,0,47.75121667,-122.4034667,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,924.7142857142857,0,47.75121667,-122.4034667,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1614.5,0,47.78011667,-122.4621167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1614.5,0,47.78011667,-122.4621167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1618.5,0,47.8246,-122.472,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1618.5,0,47.8246,-122.472,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,949,0,47.83295,-122.43295,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,949,0,47.83295,-122.43295,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1061,0,47.84825,-122.6482833,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1061,0,47.84825,-122.6482833,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1000.5714285714286,0,47.85235,-122.4918167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1000.5714285714286,0,47.85235,-122.4918167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,969.4166666666666,0,47.8565,-122.4880167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,969.4166666666666,0,47.8565,-122.4880167,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1022.9166666666666,0,47.90811667,-122.4578,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1022.9166666666666,0,47.90811667,-122.4578,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1048.8,0,47.9337,-122.4762333,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1048.8,0,47.9337,-122.4762333,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1055,0,47.97605,-122.6271333,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1055,0,47.97605,-122.6271333,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,930.5,0,47.34166667,-122.5516667,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,930.5,0,47.34166667,-122.5516667,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,1926.5,0,47.34623333,-122.5389333,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,1926.5,0.005025125628140704,47.34623333,-122.5389333,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,918,0,47.37333333,-122.3983333,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,918,0,47.37333333,-122.3983333,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,939,0,47.4,-122.54,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,939,0,47.4,-122.54,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,945,0,47.44833333,-122.525,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,945,0,47.44833333,-122.525,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,913.5,0,47.55833333,-122.4216667,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,913.5,0,47.55833333,-122.4216667,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,1933.5,0,47.67706667,-122.4413333,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring.remains,herring.remains,1933.5,0,47.67706667,-122.4413333,Ricker,2011,mm,stomachs,per_volume,NA
CO,juvenile,coho,2011,HE,herring,herring,1044,0,47.71166667,-122.4283333,Ricker,2011,mm,stomachs,per_volume,NA
